City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
247,Arraial Do Cabo,BR,80.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
250,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
252,Carbonia,IT,86.95,clear sky,39.1672,8.5222,Lu 'Hotel
253,Mahebourg,MU,73.26,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
257,Los Cordobas,CO,82.38,overcast clouds,8.894,-76.3546,Hospedaje SyS
261,Japura,ID,75.0,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
262,Datong,CN,74.71,scattered clouds,40.0936,113.2914,Holiday Inn Datong City Centre
266,Polson,US,84.78,clear sky,47.6936,-114.1632,Americas Best Value Port Polson Inn
268,San Marco In Lamis,IT,74.32,clear sky,41.7131,15.6399,Hotel Ristorante Rossemi
269,Mangrol,IN,85.05,broken clouds,21.1167,70.1167,Hotel The Royal Honours
274,Meulaboh,ID,76.73,overcast clouds,4.1363,96.1285,Kost Pria
275,Xuddur,SO,78.6,overcast clouds,4.1213,43.8894,Banjanay Hotel
279,Ewa Beach,US,80.55,clear sky,21.3156,-158.0072,Uncle Junior Robert
282,Marsh Harbour,BS,82.15,clear sky,26.5412,-77.0636,Abaco Beach Resort
283,Kirakira,SB,77.56,overcast clouds,-10.4544,161.9205,SanBiz Lodge
288,Buribay,RU,76.68,broken clouds,51.9617,58.1592,
290,Shouguang,CN,72.5,clear sky,36.88,118.7375,Communications Hotel
293,Mikhaylovka,RU,79.75,broken clouds,50.06,43.2379,5 Komnat
296,Bengkulu,ID,74.7,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
298,Bar Harbor,US,86.49,overcast clouds,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
300,Totma,RU,71.56,broken clouds,59.9747,42.7642,Varnitsy
302,Whitehorse,CA,74.1,clear sky,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
303,Tezu,IN,75.51,moderate rain,27.9167,96.1667,Circuit House
304,Tautira,PF,78.82,broken clouds,-17.7333,-149.15,Pension Oaoa
305,Kinkala,CG,75.87,scattered clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
307,Ukholovo,RU,79.25,clear sky,53.7929,40.4892,Pupchiny
312,Muisne,EC,82.51,broken clouds,0.6,-80.0333,Quinta Samay
313,Wenling,CN,77.92,light rain,28.3669,121.36,Hanting Express Wenling Wanchang North Road
314,Miles City,US,85.17,scattered clouds,46.4083,-105.8406,FairBridge Inn & Suites Miles City
317,Kimbe,PG,73.94,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
318,Puerto Quijarro,BO,76.28,scattered clouds,-17.7833,-57.7667,Hotel palance
319,Tomatlan,MX,75.25,overcast clouds,19.9333,-105.25,El Salvial
320,Abu Samrah,SY,88.23,clear sky,35.3029,37.1841,
321,Yumen,CN,74.21,scattered clouds,40.2833,97.2,
322,Birao,CF,75.06,light rain,10.2849,22.7882,
323,Mabay,PH,76.14,overcast clouds,6.0577,124.4666,Bautista Lodging House
324,Atambua,ID,70.43,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
326,Sao Jose Do Calcado,BR,76.93,few clouds,-21.0253,-41.6544,Pinheiros Hotel
328,Bemidji,US,80.19,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
329,Taft,IR,85.95,few clouds,31.7471,54.2088,بوم گردی حاجی زینل تفت
330,Khromtau,KZ,78.15,broken clouds,50.2503,58.4347,Придорожный сервис Кең Дала
331,Maragogi,BR,77.16,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
333,Saint-Pierre,RE,73.04,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
335,Teacapan,MX,88.39,broken clouds,22.55,-105.75,Hotel los Mangos
336,Oistins,BB,86.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
339,Smithers,CA,80.92,clear sky,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
342,Hamilton,US,90.0,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
343,Mana,GF,83.17,few clouds,5.6592,-53.7767,LE SAMANA
344,Rjukan,NO,72.7,broken clouds,59.8789,8.5941,Park Hotell Rjukan
347,Uppsala,SE,72.43,moderate rain,60.0,17.75,Läderskål
350,Coahuayana,MX,76.48,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
