City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Arraial Do Cabo,BR,2021-06-25 22:35:17,-22.9661,-42.0278,71.56,78,0,8.05
100,Manosque,FR,2021-06-25 22:35:17,43.8288,5.7869,70.75,69,3,4.56
101,Tuatapere,NZ,2021-06-25 22:35:18,-46.1333,167.6833,47.82,92,83,0.85
102,Ahipara,NZ,2021-06-25 22:35:18,-35.1667,173.1667,62.02,85,98,11.92
103,Hami,CN,2021-06-25 22:35:18,42.8,93.45,74.88,29,39,2.26
104,Inuvik,CA,2021-06-25 22:35:19,68.3499,-133.7218,74.16,61,75,10.36
105,Ponta Do Sol,PT,2021-06-25 22:35:19,32.6667,-17.1,68.0,65,42,3.98
106,Cidreira,BR,2021-06-25 22:35:20,-30.1811,-50.2056,58.03,72,7,5.19
107,Bandipur,NP,2021-06-25 22:35:20,27.9333,84.4167,66.36,99,100,1.59
108,Gorom-Gorom,BF,2021-06-25 22:35:20,14.4439,-0.2361,83.61,47,78,9.62
109,Turukhansk,RU,2021-06-25 22:35:21,65.8167,87.9833,45.52,63,100,15.88
110,Castro,BR,2021-06-25 22:35:22,-24.7911,-50.0119,59.2,88,3,3.47
111,Scalea,IT,2021-06-25 22:35:22,39.813,15.7956,78.96,58,4,4.56
112,Benghazi,LY,2021-06-25 22:35:22,32.1167,20.0667,80.85,62,0,10.56
113,Katsuura,JP,2021-06-25 22:35:23,35.1333,140.3,77.23,77,82,6.96
114,Tiksi,RU,2021-06-25 22:35:23,71.6872,128.8694,47.68,76,96,10.25
115,Saldanha,ZA,2021-06-25 22:35:24,-33.0117,17.9442,57.25,76,48,14.34
116,Riyadh,SA,2021-06-25 22:34:31,24.6877,46.7219,87.94,8,1,4.47
117,Malaryta,BY,2021-06-25 22:35:25,51.7905,24.074,64.71,97,35,8.19
118,Uirauna,BR,2021-06-25 22:35:25,-6.5183,-38.4122,76.03,58,41,8.63
119,Cape Town,ZA,2021-06-25 22:35:26,-33.9258,18.4232,59.41,77,75,7.0
120,Byron Bay,AU,2021-06-25 22:35:26,-28.65,153.6167,64.87,89,100,7.74
121,New Norfolk,AU,2021-06-25 22:35:26,-42.7826,147.0587,43.72,84,82,5.01
122,Pedro Ii,BR,2021-06-25 22:35:27,-4.4247,-41.4586,74.25,60,79,3.49
123,Cabo San Lucas,MX,2021-06-25 22:30:57,22.8909,-109.9124,96.51,45,1,5.75
124,Qaanaaq,GL,2021-06-25 22:35:27,77.484,-69.3632,39.7,75,79,1.43
125,La Ronge,CA,2021-06-25 22:35:28,55.1001,-105.2842,66.45,72,75,8.05
126,Hermagor,AT,2021-06-25 22:35:28,46.6272,13.3672,61.43,94,97,3.6
127,Shelbyville,US,2021-06-25 22:33:24,35.4834,-86.4603,84.02,67,75,6.91
128,Saint Anthony,US,2021-06-25 22:35:29,45.0205,-93.218,86.95,37,75,3.0
129,Sioux Lookout,CA,2021-06-25 22:35:29,50.1001,-91.917,77.38,43,75,4.61
130,Basco,PH,2021-06-25 22:35:30,20.4487,121.9702,83.84,78,96,15.84
131,Teya,RU,2021-06-25 22:35:30,60.3778,92.6267,51.8,97,83,4.63
132,Gravdal,NO,2021-06-25 22:35:30,68.1214,13.5031,47.16,67,72,4.65
133,Dunedin,NZ,2021-06-25 22:35:31,-45.8742,170.5036,52.81,92,88,2.73
134,Nova Olimpia,BR,2021-06-25 22:35:31,-14.7972,-57.2881,83.93,35,36,4.54
135,Saskylakh,RU,2021-06-25 22:35:32,71.9167,114.0833,44.29,77,100,10.56
136,Tombouctou,ML,2021-06-25 22:35:32,20.0,-3.0,87.13,35,3,14.12
137,Bethel,US,2021-06-25 22:35:32,41.3712,-73.414,78.91,67,1,10.36
138,Kavieng,PG,2021-06-25 22:35:33,-2.5744,150.7967,83.91,71,96,9.44
139,Camocim,BR,2021-06-25 22:35:33,-2.9022,-40.8411,77.77,81,6,8.95
140,Srandakan,ID,2021-06-25 22:35:34,-7.9386,110.2506,57.72,92,67,3.29
141,Zaysan,KZ,2021-06-25 22:35:34,47.4667,84.8667,50.29,67,76,4.7
142,Kruisfontein,ZA,2021-06-25 22:35:34,-34.0033,24.7314,54.88,58,6,8.48
143,Upernavik,GL,2021-06-25 22:35:35,72.7868,-56.1549,41.49,73,100,19.93
144,Cayenne,GF,2021-06-25 22:35:35,4.9333,-52.3333,82.09,78,0,1.99
145,Warkworth,NZ,2021-06-25 22:31:13,-36.4,174.6667,61.41,77,74,9.91
146,General Roca,AR,2021-06-25 22:35:36,-39.0333,-67.5833,50.4,41,31,13.44
147,Dourados,BR,2021-06-25 22:33:51,-22.2211,-54.8056,73.11,46,54,6.42
148,Yining,CN,2021-06-25 22:35:36,29.0361,114.5636,78.42,91,85,0.92
149,Havre,FR,2021-06-25 22:35:37,49.5833,0.3333,59.45,100,90,2.3
150,Bredasdorp,ZA,2021-06-25 22:35:37,-34.5322,20.0403,58.32,72,4,14.97
151,Kaitangata,NZ,2021-06-25 22:35:38,-46.2817,169.8464,48.78,93,81,2.91
152,Bambous Virieux,MU,2021-06-25 22:35:38,-20.3428,57.7575,68.25,94,75,11.5
153,Beyneu,KZ,2021-06-25 22:35:38,45.3167,55.2,86.29,29,17,5.93
154,Nikolskoye,RU,2021-06-25 22:35:39,59.7035,30.7861,69.69,98,80,3.04
155,Cockburn Town,TC,2021-06-25 22:35:39,21.4612,-71.1419,82.36,69,40,11.5
156,Tomatlan,MX,2021-06-25 22:35:40,19.9333,-105.25,87.13,59,62,10.45
157,Narasannapeta,IN,2021-06-25 22:35:40,18.4167,84.05,84.65,66,96,5.48
158,Clyde River,CA,2021-06-25 22:35:41,70.4692,-68.5914,37.63,87,75,6.91
159,Norman Wells,CA,2021-06-25 22:35:41,65.282,-126.8329,77.04,44,75,14.97
160,Port Blair,IN,2021-06-25 22:35:42,11.6667,92.75,82.18,79,100,14.7
161,Sur,OM,2021-06-25 22:35:42,22.5667,59.5289,86.94,54,0,15.35
162,Anamur,TR,2021-06-25 22:35:42,36.0751,32.8369,77.02,53,0,8.12
163,Zemio,CF,2021-06-25 22:35:43,5.0314,25.1361,70.93,79,46,1.99
164,Nabire,ID,2021-06-25 22:35:43,-3.3667,135.4833,74.77,94,100,3.36
165,Puerto Narino,CO,2021-06-25 22:35:44,-3.7703,-70.3831,73.35,94,66,2.73
166,Comodoro Rivadavia,AR,2021-06-25 22:35:44,-45.8667,-67.5,46.26,46,0,10.36
167,Adre,TD,2021-06-25 22:35:44,13.4667,22.2,83.03,38,57,1.21
168,Soc Trang,VN,2021-06-25 22:33:25,9.6033,105.98,78.76,88,85,5.12
169,Jamestown,US,2021-06-25 22:33:20,42.097,-79.2353,79.02,61,90,3.0
170,Vao,NC,2021-06-25 22:35:45,-22.6667,167.4833,72.43,67,9,23.13
171,Urdoma,RU,2021-06-25 22:35:46,61.7533,48.5442,59.13,95,25,3.89
172,Chuy,UY,2021-06-25 22:35:46,-33.6971,-53.4616,51.51,81,68,3.36
173,Olafsvik,IS,2021-06-25 22:35:47,64.8945,-23.7142,47.55,90,90,24.96
174,Ternate,ID,2021-06-25 22:35:47,0.8,127.4,80.71,79,93,2.84
175,Bayji,IQ,2021-06-25 22:35:47,34.9311,43.487,90.46,16,0,9.35
176,Banda Aceh,ID,2021-06-25 22:35:48,5.5577,95.3222,79.45,80,88,12.21
177,Komsomolskiy,UZ,2021-06-25 22:35:48,40.4272,71.7189,77.72,22,35,11.5
178,Saint-Philippe,RE,2021-06-25 22:35:49,-21.3585,55.7679,67.55,78,43,6.89
179,Husavik,IS,2021-06-25 22:35:49,66.0449,-17.3389,57.11,69,10,17.29
180,Havre-Saint-Pierre,CA,2021-06-25 22:35:50,50.2334,-63.5986,68.59,56,1,6.91
181,Kontagora,NG,2021-06-25 22:35:50,10.3999,5.4695,73.47,84,100,3.44
182,Mount Gambier,AU,2021-06-25 22:35:50,-37.8333,140.7667,44.51,87,75,5.75
183,Nantucket,US,2021-06-25 22:33:31,41.2835,-70.0995,72.97,91,90,10.36
184,Luderitz,NA,2021-06-25 22:35:51,-26.6481,15.1594,58.14,73,8,9.57
185,Salinas,US,2021-06-25 22:35:51,36.6777,-121.6555,92.01,65,1,16.11
186,Salta,AR,2021-06-25 22:35:52,-24.7859,-65.4117,54.19,68,0,1.99
187,Botevgrad,BG,2021-06-25 22:35:52,42.9,23.7833,71.78,88,95,4.14
188,Litovko,RU,2021-06-25 22:35:53,49.2361,135.1742,66.6,83,86,8.3
189,Sao Joao Da Barra,BR,2021-06-25 22:35:53,-21.6403,-41.0511,71.06,81,1,12.88
190,Uyovu,TZ,2021-06-25 22:35:53,-3.2833,31.5258,67.87,51,60,3.22
191,Esso,RU,2021-06-25 22:35:54,55.9333,158.7,39.76,99,100,5.59
192,Saint-Georges,GD,2021-06-25 22:33:27,12.0564,-61.7485,83.88,79,40,19.57
193,Palestine,PS,2021-06-25 22:35:56,31.9216,35.2033,72.93,40,0,3.65
194,Nishihara,JP,2021-06-25 22:35:57,26.1842,127.7558,80.26,97,75,10.36
