City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
118,Port Moresby,-9.4431,147.1797,74.53,92,48,7.09,PG,scattered clouds
119,Konstanz,47.6603,9.1758,79.23,80,100,4.81,DE,overcast clouds
120,Cabo San Lucas,22.8909,-109.9124,98.51,65,62,13.27,MX,broken clouds
121,Saskylakh,71.9167,114.0833,43.23,83,100,12.8,RU,overcast clouds
122,San Patricio,28.017,-97.5169,91.81,51,33,13.13,US,scattered clouds
123,Vaini,-21.2,-175.2,71.76,78,20,11.5,TO,few clouds
124,Maumere,-8.6199,122.2111,78.22,81,100,2.71,ID,overcast clouds
125,Lavrentiya,65.5833,-171.0,46.71,84,43,4.54,RU,scattered clouds
126,Bilma,18.6853,12.9164,99.27,9,4,5.68,NE,clear sky
127,Touros,-5.1989,-35.4608,85.1,68,37,18.81,BR,scattered clouds
128,Carnarvon,-24.8667,113.6333,57.27,64,28,4.61,AU,scattered clouds
129,Torbay,47.6666,-52.7314,74.17,76,75,18.41,CA,broken clouds
130,Saint-Ambroise,48.5501,-71.3324,68.49,100,100,2.84,CA,moderate rain
131,Alofi,-19.0595,-169.9187,75.18,59,43,26.24,NU,scattered clouds
132,Gornopravdinsk,60.05,69.9,54.57,80,86,3.38,RU,overcast clouds
133,Novobelokatay,55.7062,58.9549,64.96,81,8,2.17,RU,clear sky
134,Pevek,69.7008,170.3133,36.18,91,73,5.46,RU,broken clouds
135,Severo-Kurilsk,50.6789,156.125,44.28,90,53,13.27,RU,broken clouds
136,Adrar,20.5022,-10.0711,109.58,6,40,8.01,MR,scattered clouds
137,Shipunovo,52.1582,82.2173,60.01,65,100,8.28,RU,overcast clouds
138,Avarua,-21.2078,-159.775,71.65,60,75,11.5,CK,broken clouds
139,Ostrovnoy,68.0531,39.5131,58.12,65,95,12.8,RU,overcast clouds
140,Tuatapere,-46.1333,167.6833,40.82,82,100,22.06,NZ,overcast clouds
141,Mumbwa,-14.9783,27.0619,63.05,36,25,5.03,ZM,scattered clouds
142,Saint-Philippe,-21.3585,55.7679,72.95,83,36,11.86,RE,light rain
143,Acajutla,13.5928,-89.8275,84.52,68,76,6.69,SV,broken clouds
144,Yulara,-25.2406,130.9889,43.52,58,51,7.74,AU,broken clouds
145,Hasaki,35.7333,140.8333,68.4,93,100,14.32,JP,overcast clouds
146,Victoria,22.2855,114.1577,86.38,87,100,1.01,HK,overcast clouds
147,Mao,39.8885,4.2658,79.36,61,0,6.91,ES,clear sky
148,Ribeira Grande,38.5167,-28.7,70.2,88,20,4.61,PT,few clouds
149,Mogadishu,2.0371,45.3438,77.41,83,71,13.04,SO,broken clouds
150,Chandbali,20.7833,86.7667,83.41,82,35,9.95,IN,scattered clouds
151,Waingapu,-9.6567,120.2641,77.29,88,87,8.55,ID,overcast clouds
152,San Juan,-31.5375,-68.5364,45.54,36,3,2.19,AR,clear sky
153,Kudahuvadhoo,2.6708,72.8944,82.69,70,72,8.16,MV,broken clouds
154,Mangla,31.8931,72.3817,99.39,23,11,7.14,PK,few clouds
155,Winslow,35.0242,-110.6974,87.98,17,1,5.01,US,clear sky
156,Mayo,38.8876,-76.5119,92.39,71,20,1.01,US,few clouds
157,Tiksi,71.6872,128.8694,34.12,85,99,8.12,RU,overcast clouds
158,Thompson,55.7435,-97.8558,72.32,29,71,9.93,CA,broken clouds
159,Nome,64.5011,-165.4064,53.67,82,90,13.8,US,overcast clouds
160,Mocuba,-16.8392,36.9856,65.66,79,0,4.5,MZ,clear sky
161,Port Hawkesbury,45.6169,-61.3485,77.92,80,40,5.01,CA,scattered clouds
162,Buluang,13.3068,123.3425,78.44,84,94,1.95,PH,overcast clouds
163,Saldanha,-33.0117,17.9442,56.19,82,25,13.13,ZA,scattered clouds
164,Salym,60.0625,71.4789,54.14,72,77,3.44,RU,broken clouds
165,Faanui,-16.4833,-151.75,79.63,77,100,9.69,PF,light rain
166,Monrovia,6.3005,-10.7969,85.77,85,100,8.01,LR,overcast clouds
167,Yellowknife,62.456,-114.3525,64.92,45,75,14.97,CA,broken clouds
168,Lorengau,-2.0226,147.2712,80.53,80,90,4.9,PG,overcast clouds
169,Mar Del Plata,-38.0023,-57.5575,52.0,62,40,8.99,AR,scattered clouds
170,Upernavik,72.7868,-56.1549,39.52,80,63,12.19,GL,broken clouds
171,Andenes,69.3143,16.1194,55.38,67,20,17.27,NO,few clouds
172,Fort Nelson,58.8053,-122.7002,86.59,39,33,1.28,CA,scattered clouds
173,Clyde River,70.4692,-68.5914,34.03,100,90,17.27,CA,light snow
174,Sobolevo,54.4299,31.8996,66.74,96,96,5.3,RU,light rain
